POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85003,Greater Than 250,277
85004,101-250,206
85006,Greater Than 250,837
85007,Greater Than 250,639
85008,Greater Than 250,2415
85009,Greater Than 250,2249
85012,Greater Than 250,447
85013,Greater Than 250,518
85014,Greater Than 250,881
85015,Greater Than 250,1311
85016,Greater Than 250,1189
85017,Greater Than 250,1343
85018,Greater Than 250,967
85019,Greater Than 250,1037
85020,Greater Than 250,732
85021,Greater Than 250,1130
85022,Greater Than 250,782
85023,Greater Than 250,610
85024,Greater Than 250,414
85027,Greater Than 250,653
85028,Greater Than 250,290
85029,Greater Than 250,1087
85031,Greater Than 250,1374
85032,Greater Than 250,1372
85033,Greater Than 250,2436
85034,101-250,250
85035,Greater Than 250,2224
85037,Greater Than 250,1869
85040,Greater Than 250,1104
85041,Greater Than 250,2273
85042,Greater Than 250,1316
85043,Greater Than 250,1275
85044,Greater Than 250,558
85045,11-100,73
85048,Greater Than 250,476
85050,Greater Than 250,440
85051,Greater Than 250,1230
85053,Greater Than 250,531
85054,101-250,140
85083,Greater Than 250,337
85085,Greater Than 250,358
85086,Greater Than 250,476
85087,11-100,87
85118,11-100,92
85119,101-250,188
85120,Greater Than 250,355
85121,0,0
85121 Tribal,Data Suppressed,Data Suppressed
85122,Greater Than 250,1197
85123,101-250,206
85128,Greater Than 250,387
85131,Greater Than 250,631
85132,Greater Than 250,627
85135,1-5,1-5
85137,11-100,23
85138,Greater Than 250,589
85139,101-250,230
85140,Greater Than 250,451
85141,11-100,12
85142,Greater Than 250,836
85143,Greater Than 250,462
85145,11-100,18
85147,0,0
85147 Tribal,Data Suppressed,Data Suppressed
85172,11-100,35
85173,11-100,57
85190,0,0
85191,6-10,6-10
85192,11-100,17
85193,11-100,80
85194,11-100,80
85201,Greater Than 250,1128
85202,Greater Than 250,997
85203,Greater Than 250,697
85204,Greater Than 250,1470
85205,Greater Than 250,512
85206,Greater Than 250,1000
85207,Greater Than 250,520
85208,Greater Than 250,469
85209,Greater Than 250,676
85210,Greater Than 250,954
85212,Greater Than 250,553
85213,Greater Than 250,445
85215,101-250,167
85224,Greater Than 250,987
85225,Greater Than 250,1616
85226,Greater Than 250,515
85233,Greater Than 250,607
85234,Greater Than 250,712
85248,Greater Than 250,614
85249,Greater Than 250,451
85250,101-250,240
85251,Greater Than 250,1088
85253,Greater Than 250,314
85254,Greater Than 250,650
85255,Greater Than 250,634
85256,101-250,200
85257,Greater Than 250,774
85258,Greater Than 250,355
85259,Greater Than 250,288
85260,Greater Than 250,598
85262,11-100,88
85263,11-100,13
85264,11-100,26
85266,101-250,106
85268,101-250,168
85281,Greater Than 250,1342
85282,Greater Than 250,1067
85283,Greater Than 250,1081
85284,101-250,197
85286,Greater Than 250,618
85287,11-100,20
85295,Greater Than 250,639
85296,Greater Than 250,609
85297,Greater Than 250,455
85298,Greater Than 250,378
85301,Greater Than 250,2084
85302,Greater Than 250,1116
85303,Greater Than 250,1235
85304,Greater Than 250,524
85305,Greater Than 250,536
85306,Greater Than 250,457
85307,101-250,199
85308,Greater Than 250,969
85309,11-100,42
85310,Greater Than 250,274
85320,11-100,49
85321,11-100,70
85322,6-10,6-10
85323,Greater Than 250,1397
85324,11-100,22
85325,0,0
85326,Greater Than 250,1423
85328,1-5,1-5
85329,11-100,88
85331,Greater Than 250,321
85332,6-10,6-10
85333,1-5,1-5
85334,6-10,6-10
85335,Greater Than 250,780
85336,Greater Than 250,317
85337,11-100,79
85338,Greater Than 250,1150
85339,Greater Than 250,1459
85340,Greater Than 250,547
85341,1-5,1-5
85342,6-10,6-10
85343,1-5,1-5
85344,101-250,146
85344 Tribal,Data Suppressed,Data Suppressed
85345,Greater Than 250,1375
85346,11-100,16
85347,1-5,1-5
85348,11-100,17
85349,Greater Than 250,495
85350,Greater Than 250,2866
85351,Greater Than 250,287
85352,11-100,11
85353,Greater Than 250,1726
85354,11-100,97
85355,101-250,189
85356,11-100,93
85357,0,0
85360,0,0
85361,101-250,111
85362,1-5,1-5
85363,101-250,211
85364,Greater Than 250,3383
85365,Greater Than 250,1435
85367,Greater Than 250,382
85373,101-250,188
85374,Greater Than 250,486
85375,101-250,225
85377,11-100,27
85378,101-250,177
85379,Greater Than 250,714
